age,sport_licence,niveau_etude,revenu_estime_mois,situation_familiale,risque_personnel,date_creation_compte,loyer_mensuel,montant_pret
43.0,oui,bac,4748.0,veuf,0.48,2021-02-20,5000.0,8072.240244790776
57.0,oui,bac+2,500.0,veuf,0.35,2023-09-05,7109.342,500.0
38.0,non,doctorat,4629.0,veuf,0.16,2020-10-01,5283.502,12988.545936541785
28.0,oui,bac+2,1925.0,marié,0.23,2021-09-26,5000.0,500.0
62.0,oui,bac,3285.0,divorcé,0.24,2021-06-06,5000.0,18788.116973508226
65.0,oui,doctorat,3441.0,marié,0.5,2023-04-21,5000.0,901.9808840716278
37.0,oui,bac,2296.0,veuf,0.7,2023-05-19,322.22,500.0
38.0,non,aucun,4073.0,veuf,0.29,2025-01-06,5000.0,500.0
69.0,oui,bac,500.0,veuf,0.63,2023-05-12,6000.0,500.0
28.0,oui,bac,3356.0,veuf,0.89,2021-10-20,751.03,500.0
57.0,non,aucun,2973.0,célibataire,0.58,2020-01-23,499.99,5289.680391327529
60.0,non,bac+2,1967.0,veuf,0.25,2024-06-10,10000.0,13433.713898031412
60.0,oui,bac,1803.0,marié,0.03,2025-03-12,5000.0,500.0
68.0,oui,bac,2402.0,veuf,0.25,2020-10-11,3396.6400000000003,500.0
40.0,oui,master,1730.0,marié,0.58,2020-12-08,10000.0,25174.847422299536
22.0,non,doctorat,708.0,veuf,0.11,2024-11-19,5000.0,2213.664823718327
70.0,oui,bac,3146.0,célibataire,0.72,2023-02-24,5000.0,500.0
72.0,oui,aucun,1364.0,célibataire,0.01,2024-05-28,8000.0,3292.1600607528044
46.0,oui,doctorat,1550.0,marié,0.78,2025-01-10,951.76,500.0
36.0,oui,aucun,4447.0,veuf,0.75,2021-02-06,5000.0,7691.749975937246
66.0,non,bac,2515.0,veuf,0.08,2020-07-29,5000.0,26014.69479077889
28.0,non,bac+2,2407.0,veuf,0.68,2022-07-15,298.76,500.0
20.0,non,doctorat,3064.0,veuf,0.76,2025-01-20,10000.0,15417.094849329484
63.0,non,master,3761.0,célibataire,0.57,2020-09-01,6101.09,6805.405638335676
65.0,oui,bac,2617.0,marié,0.74,2021-02-08,10000.0,500.0
47.0,oui,bac+2,3365.0,veuf,0.98,2021-11-13,804.53,26707.93707807425
68.0,non,master,3112.0,veuf,0.33,2023-09-27,5000.0,27964.56894724116
67.0,non,aucun,1494.0,célibataire,0.08,2022-07-27,9000.0,1865.5082236752507
61.0,non,bac,2279.0,veuf,0.3,2020-01-07,1019.59,500.0
23.0,oui,bac+2,2445.0,célibataire,0.54,2021-09-24,5000.0,33159.5498249317
28.0,non,master,2262.0,veuf,0.18,2022-08-04,10000.0,500.0
66.0,non,aucun,2585.0,marié,0.42,2021-07-17,5000.0,500.0
56.0,oui,master,1882.0,veuf,0.78,2023-09-03,10000.0,15236.98976137775
28.0,oui,bac+2,4543.0,divorcé,0.89,2024-12-08,3506.6340000000005,14482.82796220425
48.0,oui,doctorat,4504.0,veuf,0.26,2022-12-01,10000.0,28865.75582157771
23.0,oui,bac,3708.0,divorcé,0.23,2021-12-25,5000.0,500.0
49.0,non,bac+2,4490.0,veuf,0.2,2020-02-04,5000.0,4377.975022506234
61.0,non,bac,2681.0,divorcé,0.6,2022-02-12,974.9,500.0
52.0,oui,aucun,4112.0,marié,0.27,2021-02-16,7065.217999999999,33649.56788282953
58.0,oui,doctorat,3305.0,divorcé,0.35,2022-03-17,5000.0,13103.12316916267
30.0,non,aucun,3125.0,veuf,0.35,2024-09-23,10000.0,500.0
37.0,non,bac+2,3121.0,veuf,0.01,2022-02-18,826.61,500.0
55.0,oui,master,1194.0,célibataire,0.94,2023-07-05,1391.55,500.0
40.0,non,bac+2,2263.0,veuf,0.27,2022-01-02,363.23,500.0
32.0,oui,aucun,2847.0,veuf,0.19,2024-10-17,201.76,500.0
24.0,oui,bac+2,2043.0,veuf,0.24,2022-11-25,10000.0,500.0
57.0,oui,master,4192.0,veuf,0.42,2022-01-23,5000.0,26684.908891284296
19.0,non,aucun,3604.0,divorcé,0.41,2021-08-14,5000.0,2776.793286290955
67.0,oui,aucun,2029.0,célibataire,0.96,2023-09-15,10000.0,17308.92489051974
37.0,oui,doctorat,3693.0,marié,0.32,2021-12-22,3481.2580000000003,500.0
56.0,oui,bac,1321.0,célibataire,0.07,2022-08-27,5000.0,7653.599830380421
75.0,non,bac,3301.0,marié,0.97,2023-11-28,508.92,500.0
30.0,non,doctorat,3411.0,veuf,0.55,2022-02-01,962.23,6079.098084731441
55.0,non,master,2421.0,marié,0.33,2023-04-29,10000.0,500.0
75.0,oui,bac,2300.0,marié,0.52,2021-05-03,10000.0,500.0
59.0,non,bac+2,1964.0,divorcé,0.2,2020-05-13,10000.0,500.0
28.0,oui,bac,921.0,divorcé,0.3,2020-04-22,619.77,500.0
74.0,oui,bac,1956.0,marié,0.2,2021-11-03,4329.758,500.0
24.0,oui,doctorat,2737.0,veuf,0.65,2024-09-17,10000.0,17529.02859365475
37.0,oui,bac,500.0,veuf,0.96,2023-05-19,650.77,500.0
74.0,oui,aucun,2008.0,veuf,0.56,2022-02-11,5187.012000000001,2766.5345642512525
22.0,non,master,4719.0,veuf,0.74,2023-04-16,5000.0,11320.641132093106
46.0,non,aucun,638.0,marié,0.19,2023-09-15,648.86,500.0
28.0,non,bac,2135.0,veuf,0.34,2024-01-17,718.09,9431.116912734637
42.0,oui,bac,3329.0,divorcé,0.16,2023-11-14,5000.0,15719.430063860287
55.0,non,master,1430.0,célibataire,0.74,2022-02-17,972.17,20283.32872329949
70.0,non,aucun,2879.0,divorcé,0.44,2021-08-21,10000.0,500.0
28.0,oui,master,2605.0,veuf,0.59,2024-11-27,5000.0,8490.55635120555
47.0,non,bac+2,2515.0,marié,0.25,2021-01-17,5000.0,3111.3967816888376
65.0,oui,master,3412.0,marié,0.23,2020-01-01,516.32,5093.167393341585
55.0,non,aucun,2951.0,célibataire,0.15,2022-01-21,10000.0,11408.12742971051
41.0,oui,master,2782.0,célibataire,0.43,2023-01-21,10000.0,11643.982530054896
69.0,non,bac,3050.0,veuf,0.33,2020-02-11,5000.0,18715.82677456181
21.0,oui,bac+2,3070.0,divorcé,0.06,2022-12-12,5000.0,10554.992292392182
28.0,non,bac+2,2405.0,marié,0.81,2022-01-18,756.39,23126.13469877002
60.0,oui,aucun,1515.0,célibataire,0.84,2020-04-13,7162.916,500.0
49.0,non,bac,2607.0,divorcé,0.93,2021-07-08,5000.0,13866.896476698104
41.0,oui,doctorat,996.0,marié,0.7,2021-10-25,1293.83,500.0
38.0,non,doctorat,3462.0,divorcé,0.15,2024-06-15,1632.83,8481.648806647265
21.0,non,bac,2484.0,veuf,0.48,2025-01-07,700.41,3880.355726102111
71.0,oui,aucun,1825.0,veuf,0.21,2022-09-19,6101.005999999999,500.0
68.0,oui,doctorat,1895.0,divorcé,0.83,2021-06-16,6143.005999999999,2068.1172258665347
75.0,oui,bac+2,4267.0,veuf,0.96,2022-08-12,7000.0,1696.8493713475991
57.0,non,bac,3881.0,marié,0.62,2020-11-14,5000.0,27780.768039538496
59.0,non,bac+2,1905.0,veuf,0.25,2024-12-31,639.99,500.0
74.0,oui,doctorat,1323.0,divorcé,0.22,2021-06-16,1049.91,11514.105291317504
64.0,non,bac+2,1900.0,veuf,0.87,2022-07-06,10000.0,500.0
41.0,oui,bac+2,3120.0,veuf,0.93,2025-03-20,10000.0,500.0
74.0,non,doctorat,2411.0,veuf,0.92,2025-04-09,792.71,8538.59331397343
47.0,oui,aucun,3893.0,célibataire,0.78,2024-05-17,10000.0,500.0
37.0,oui,bac,3122.0,veuf,0.42,2020-03-23,10000.0,16067.95408737873
72.0,non,aucun,1494.0,veuf,0.94,2024-05-19,5000.0,500.0
31.0,oui,aucun,3111.0,célibataire,0.12,2021-02-24,4396.248,7641.829458890712
65.0,oui,aucun,2251.0,divorcé,0.35,2020-04-06,751.97,500.0
23.0,non,bac,2876.0,marié,0.36,2025-05-27,1801.85,500.0
36.0,oui,bac,3007.0,célibataire,0.16,2023-02-12,1812.2620000000002,500.0
35.0,oui,master,3721.0,célibataire,0.17,2021-05-31,5000.0,6091.920018290515
28.0,oui,bac+2,1170.0,veuf,0.33,2020-03-17,4479.25,3334.598463791741
28.0,non,bac,1583.0,veuf,0.62,2025-01-03,5000.0,500.0
42.0,oui,bac,3445.0,célibataire,0.5,2021-12-20,8174.114,9486.37106832868
34.0,non,bac,2608.0,marié,0.71,2025-01-04,7000.0,500.0
67.0,non,bac,3220.0,veuf,0.02,2022-02-19,5000.0,500.0
42.0,non,aucun,1530.0,divorcé,0.62,2020-02-24,1701.2419999999997,500.0
44.0,oui,master,2739.0,veuf,0.11,2022-05-27,569.37,26156.737239491053
57.0,oui,bac,500.0,veuf,0.71,2020-10-19,10000.0,500.0
35.0,non,master,500.0,veuf,0.96,2022-01-23,10000.0,500.0
72.0,oui,doctorat,701.0,célibataire,0.01,2024-09-11,7125.746000000001,25797.13512701585
34.0,oui,master,3078.0,veuf,0.31,2020-04-06,10000.0,13320.613473408164
61.0,oui,bac,844.0,divorcé,0.13,2023-09-27,5000.0,9023.465109801826
34.0,non,aucun,1473.0,divorcé,0.26,2023-07-07,10000.0,500.0
62.0,oui,aucun,2393.0,célibataire,0.33,2022-10-13,10000.0,8994.544967497599
62.0,non,bac,3254.0,veuf,0.72,2020-05-18,740.94,500.0
29.0,non,aucun,1637.0,marié,0.24,2022-01-21,4433.7699999999995,500.0
74.0,oui,bac+2,2767.0,veuf,0.95,2025-02-19,9000.0,10061.837075375272
49.0,non,bac,836.0,veuf,0.89,2025-02-11,10000.0,500.0
31.0,oui,bac+2,2265.0,veuf,0.62,2024-06-30,5000.0,15084.162733581668
39.0,non,aucun,2976.0,veuf,0.99,2023-04-25,10000.0,500.0
30.0,non,master,1219.0,marié,0.09,2020-07-01,5000.0,3518.6513406881577
70.0,oui,bac,1954.0,veuf,0.04,2024-10-30,5000.0,500.0
64.0,oui,aucun,4682.0,marié,0.18,2023-08-02,5000.0,500.0
29.0,non,master,2255.0,divorcé,0.37,2021-06-16,6231.054,500.0
49.0,non,master,4651.0,divorcé,0.49,2023-01-01,5000.0,500.0
67.0,non,bac,3418.6,divorcé,0.67,2020-05-15,4382.35,14846.872159082805
20.0,non,doctorat,4437.0,veuf,0.13,2023-02-09,664.52,1658.5956929782044
65.0,non,master,2122.0,célibataire,0.32,2021-09-24,6101.005999999999,500.0
71.0,non,bac+2,3529.0,veuf,0.48,2024-11-22,10000.0,500.0
71.0,oui,bac,982.0,veuf,0.78,2025-01-30,5101.005999999999,500.0
37.0,oui,master,3125.0,divorcé,0.66,2024-08-12,10000.0,28819.694758555885
18.0,non,doctorat,3167.0,marié,0.84,2023-05-15,5389.224,25267.30236974552
55.0,oui,doctorat,2821.0,veuf,0.54,2021-08-31,5109.32,500.0
72.0,non,bac,4098.0,veuf,0.3,2023-02-16,5221.4400000000005,500.0
70.0,non,doctorat,3147.0,divorcé,0.54,2023-03-14,6270.5019999999995,24828.95747522233
75.0,oui,aucun,3436.0,marié,0.12,2021-12-18,802.19,500.0
48.0,non,bac+2,500.0,célibataire,0.91,2021-03-11,10000.0,2452.6044999096903
49.0,non,bac+2,4819.0,célibataire,0.45,2025-01-17,815.56,500.0
62.0,non,doctorat,4947.0,marié,0.94,2024-01-03,664.57,500.0
40.0,oui,doctorat,3436.0,célibataire,0.3,2024-07-05,5000.0,9676.30823587828
29.0,oui,bac+2,4511.0,marié,0.02,2020-10-23,10000.0,15867.290803151365
32.0,oui,bac,2844.0,divorcé,0.71,2022-10-05,10000.0,29313.457424596523
67.0,oui,aucun,1669.0,marié,0.2,2025-01-11,4130.9580000000005,500.0
48.0,non,aucun,3671.0,veuf,0.86,2023-05-19,10000.0,1249.978136531263
30.0,oui,bac+2,2747.0,marié,0.62,2020-10-21,423.95,500.0
33.0,oui,bac+2,1107.0,divorcé,0.92,2024-05-05,188.92,500.0
27.0,non,bac,2970.0,veuf,0.48,2023-08-27,5000.0,2953.6937916488905
61.0,non,bac+2,3156.0,divorcé,0.51,2024-09-28,7000.0,10494.305987205758
46.0,non,master,4179.0,marié,0.1,2021-01-25,432.97,500.0
55.0,oui,bac,3267.8,veuf,0.96,2022-10-03,1193.13,690.4795534257961
52.0,non,bac,1774.0,divorcé,0.65,2024-06-29,4237.715999999999,500.0
27.0,non,bac,500.0,veuf,0.12,2020-04-30,927.25,500.0
56.0,non,bac+2,3625.0,veuf,0.52,2022-06-10,10000.0,10198.151528004015
52.0,oui,bac+2,2807.0,veuf,0.58,2025-03-03,8035.81,20228.07416714312
58.0,non,doctorat,3873.0,divorcé,0.92,2020-03-14,7000.0,15303.76130810419
64.0,oui,doctorat,4064.0,marié,0.77,2022-10-08,12.26,25556.68913918532
38.0,non,master,2867.4,divorcé,0.57,2021-08-07,3709.8839999999996,29752.04452843919
49.0,oui,doctorat,1984.0,veuf,0.31,2023-10-20,5000.0,23787.12325597037
39.0,non,bac+2,4599.0,divorcé,0.4,2021-12-18,5291.9,500.0
26.0,oui,master,4706.0,marié,0.99,2023-08-12,720.95,22513.75005603997
41.0,non,doctorat,2069.0,divorcé,0.82,2024-10-06,5000.0,2894.4959803926054
66.0,oui,bac+2,2136.0,marié,0.47,2024-11-29,5000.0,500.0
43.0,oui,master,2325.0,divorcé,0.87,2023-05-23,10000.0,11966.078468060516
36.0,oui,bac,2175.0,veuf,0.19,2024-04-16,10000.0,1295.240830722273
31.0,oui,doctorat,4098.0,célibataire,0.72,2022-03-07,5000.0,29057.507095515117
39.0,oui,aucun,2233.0,veuf,0.87,2021-08-17,1150.47,13371.776044461412
29.0,oui,master,2720.0,veuf,0.98,2020-05-26,51.5,29048.275063980134
62.0,non,bac+2,2673.0,veuf,0.69,2020-12-04,848.5,500.0
45.0,oui,aucun,1654.0,célibataire,0.16,2024-10-02,1085.9,500.0
24.0,non,master,883.0,célibataire,0.36,2021-01-16,7125.745999999999,8065.286646692786
31.0,oui,doctorat,1782.0,célibataire,0.01,2020-03-05,10000.0,500.0
21.0,oui,master,4735.0,veuf,0.33,2024-02-24,6432.224,17888.355322336793
47.0,non,bac,1769.0,célibataire,0.14,2025-02-05,5000.0,10966.893001535216
25.0,non,master,2759.0,veuf,0.07,2021-11-27,5000.0,2929.809359828804
37.0,oui,bac,5013.0,marié,0.02,2023-11-02,10000.0,11501.157584814951
23.0,oui,bac,2199.0,marié,0.67,2023-08-31,5356.8,500.0
69.0,non,bac+2,1279.0,célibataire,0.59,2024-03-31,5000.0,500.0
33.0,oui,bac,3062.0,veuf,0.65,2021-04-01,10000.0,12350.86893104787
43.0,non,bac,1751.0,veuf,0.93,2023-05-22,10000.0,500.0
57.0,oui,aucun,3021.0,veuf,1.0,2024-07-30,6162.918,500.0
64.0,oui,master,1352.0,célibataire,0.05,2024-02-18,8000.0,4365.025738063617
19.0,non,master,2467.0,célibataire,0.84,2023-05-31,5356.8,500.0
21.0,non,doctorat,3347.0,célibataire,0.67,2021-04-21,5000.0,21130.28404567681
71.0,non,bac,1347.0,marié,0.31,2021-02-22,5000.0,500.0
69.0,oui,bac,1809.0,marié,0.48,2024-10-15,10000.0,500.0
35.0,oui,bac,1221.0,célibataire,0.07,2025-03-01,5212.5,17559.50097809933
73.0,non,bac+2,2476.0,veuf,0.55,2024-01-04,590.88,500.0
18.0,oui,bac+2,1470.0,célibataire,0.61,2023-08-15,1734.9119999999998,500.0
65.0,oui,aucun,2058.0,divorcé,0.23,2021-05-22,5000.0,500.0
50.0,oui,bac,919.0,veuf,0.94,2024-08-20,5000.0,500.0
22.0,oui,bac,2956.0,divorcé,0.08,2023-03-02,10000.0,17336.754000452507
61.0,non,bac+2,781.0,célibataire,0.9,2023-07-02,5000.0,500.0
22.0,oui,bac,3262.0,veuf,0.67,2024-09-30,10000.0,500.0
34.0,oui,doctorat,3377.0,marié,0.15,2020-05-22,5000.0,14265.456206166196
60.0,non,aucun,1734.0,divorcé,0.14,2024-05-13,3366.3059999999996,500.0
35.0,oui,bac,3116.0,veuf,0.17,2025-02-07,10000.0,9851.555553598411
43.0,oui,bac,4138.0,veuf,0.35,2023-05-14,5000.0,1327.4300660650106
25.0,non,bac+2,4653.0,divorcé,0.37,2021-12-29,759.89,500.0
72.0,oui,aucun,3193.0,veuf,0.65,2022-05-20,1003.59,500.0
70.0,non,master,2524.0,veuf,0.75,2023-11-27,5000.0,500.0
64.0,non,aucun,4305.0,divorcé,0.79,2020-09-17,6101.005999999999,500.0
61.0,non,bac,2364.0,veuf,0.78,2022-05-05,415.99,500.0
56.0,non,aucun,2362.0,célibataire,0.37,2021-05-20,5000.0,14904.809053847235
48.0,non,aucun,2373.0,veuf,0.16,2020-04-08,10000.0,12447.83096784521
47.0,oui,bac,2991.0,veuf,0.41,2023-07-02,10000.0,16948.311989690053
42.0,non,master,2827.0,veuf,0.16,2022-03-31,10000.0,12635.967148148045
26.0,oui,doctorat,2797.0,veuf,0.88,2020-10-05,10000.0,11877.305358983303
69.0,oui,doctorat,1653.0,veuf,0.76,2024-04-23,5000.0,15841.78530734665
25.0,oui,bac,2598.0,divorcé,0.61,2021-03-06,5000.0,500.0
29.0,oui,aucun,2976.0,marié,0.96,2021-08-29,5000.0,500.0
67.0,oui,bac,4856.0,marié,0.27,2020-04-29,570.47,8804.323494485228
43.0,oui,bac,3205.0,veuf,0.78,2023-09-07,1111.61,500.0
72.0,non,aucun,3741.0,marié,0.63,2025-06-06,746.22,7191.108447599254
46.0,non,bac,1852.0,veuf,0.14,2020-11-26,10000.0,500.0
44.0,oui,doctorat,500.0,veuf,0.08,2021-05-19,199.45,27136.058762198845
50.0,non,bac,4740.0,veuf,0.16,2021-12-12,875.62,4760.078341357698
72.0,non,doctorat,3059.0,veuf,0.7,2020-06-04,5404.892000000001,33717.90657995135
30.0,oui,master,1766.0,marié,0.83,2022-08-13,6296.946,8588.318698925372
73.0,non,bac,1839.0,célibataire,0.14,2024-12-29,5000.0,500.0
43.0,oui,master,2567.0,veuf,0.31,2021-01-04,5000.0,4110.902438982694
24.0,oui,aucun,2974.0,veuf,0.54,2025-04-26,10000.0,500.0
45.0,oui,master,1762.0,célibataire,0.2,2023-10-03,572.53,16658.626139561646
22.0,oui,bac,1371.0,veuf,0.89,2022-01-07,10000.0,11939.525753110354
20.0,oui,doctorat,2300.0,veuf,0.43,2022-03-03,6125.746,12315.62883140294
70.0,oui,doctorat,4273.0,divorcé,0.56,2020-08-13,7000.0,30032.18856114661
59.0,non,master,3269.0,divorcé,0.43,2022-01-10,7148.433999999999,14081.962688300817
41.0,oui,bac+2,2224.0,veuf,0.35,2021-06-23,5000.0,500.0
52.0,non,aucun,3512.0,veuf,0.86,2020-11-21,1053.77,500.0
23.0,non,doctorat,4402.0,veuf,0.94,2024-04-17,1092.67,13322.722511353775
30.0,oui,bac,3471.0,divorcé,0.7,2023-11-10,868.39,17854.30987346068
27.0,non,bac+2,1674.0,célibataire,0.65,2022-11-14,5000.0,6304.030635134641
63.0,non,master,3383.0,veuf,0.08,2022-10-24,6120.446,26266.196575086207
62.0,non,bac+2,1949.0,divorcé,0.49,2025-02-22,5000.0,500.0
59.0,oui,master,500.0,veuf,0.95,2021-03-10,5040.584,500.0
20.0,non,master,2958.0,divorcé,0.6,2021-06-23,5000.0,20086.59482374166
66.0,oui,bac,3153.0,divorcé,0.13,2023-11-19,1037.15,500.0
44.0,non,bac,1387.0,veuf,0.66,2023-06-08,10000.0,4574.044335803245
68.0,oui,bac+2,4488.0,veuf,0.38,2020-04-04,10000.0,25870.029486949545
63.0,oui,aucun,4193.0,divorcé,0.52,2020-12-21,972.47,500.0
75.0,oui,aucun,1720.0,veuf,0.71,2024-04-17,5000.0,500.0
20.0,oui,master,2629.0,veuf,0.24,2024-06-24,641.61,500.0
21.0,non,bac,4260.0,veuf,0.84,2023-08-16,10000.0,15043.240613838378
35.0,oui,bac,2223.0,divorcé,0.77,2024-10-06,10000.0,4245.324661494927
70.0,non,aucun,2102.0,veuf,0.37,2022-05-19,5101.005999999999,500.0
51.0,oui,bac,4762.0,veuf,0.68,2025-01-30,6165.505999999999,500.0
75.0,non,aucun,2450.0,veuf,0.6,2021-09-26,5000.0,500.0
49.0,oui,bac,2414.0,veuf,0.14,2020-04-03,4365.562,500.0
54.0,non,master,500.0,marié,0.12,2022-02-16,5000.0,500.0
74.0,oui,aucun,2336.0,marié,0.63,2023-04-24,5000.0,13271.531682677058
49.0,oui,bac,3495.0,veuf,0.67,2021-11-20,7125.746000000001,6139.200311574356
37.0,non,aucun,2587.0,veuf,0.96,2021-10-21,5000.0,3876.7867217888006
38.0,non,master,4463.0,divorcé,0.9,2021-10-05,10000.0,500.0
39.0,oui,aucun,1273.0,célibataire,0.68,2023-02-22,6165.505999999999,500.0
22.0,non,aucun,3668.0,veuf,0.54,2020-07-31,5000.0,24275.673138363203
21.0,non,bac+2,3217.0,célibataire,0.95,2023-04-23,10000.0,500.0
46.0,non,master,2883.0,veuf,0.26,2024-01-27,4583.134,30587.59491294376
30.0,non,aucun,2950.0,marié,0.06,2025-05-13,6120.9400000000005,500.0
27.0,non,bac+2,500.0,divorcé,0.57,2020-05-07,4301.352000000001,500.0
63.0,non,bac+2,2608.0,marié,0.73,2025-02-26,10000.0,15337.514355524929
45.0,non,doctorat,2083.0,divorcé,0.97,2024-09-20,10000.0,3690.2340561778265
47.0,non,bac+2,3045.0,veuf,0.6,2020-05-29,10000.0,500.0
55.0,non,master,2054.0,célibataire,0.27,2022-07-14,8000.0,500.0
67.0,oui,bac+2,1670.0,veuf,0.07,2023-05-02,9000.0,2831.5895548925146
64.0,oui,bac,1506.0,veuf,0.88,2024-01-15,5000.0,6593.485156219487
54.0,oui,master,2667.0,célibataire,0.33,2021-06-16,10000.0,500.0
35.0,non,bac,2418.0,veuf,0.35,2022-01-27,5435.096,500.0
61.0,oui,master,3097.0,veuf,0.35,2022-06-09,631.43,27102.117228571933
64.0,non,doctorat,2625.0,célibataire,0.94,2023-03-02,526.35,500.0
19.0,non,doctorat,3307.0,divorcé,0.01,2023-09-03,1076.96,500.0
30.0,non,master,2352.0,veuf,0.57,2023-09-05,657.0,500.0
29.0,oui,bac+2,3442.0,veuf,0.78,2024-06-09,5000.0,27437.120828651507
46.0,oui,bac+2,2508.0,veuf,0.31,2020-11-11,9000.0,4438.157403906529
53.0,oui,doctorat,3522.0,veuf,0.14,2023-04-18,5000.0,19771.874964484865
20.0,oui,doctorat,4290.0,célibataire,0.74,2023-06-18,4560.62,17180.00272070083
61.0,non,bac,4015.0,célibataire,0.05,2022-07-23,10000.0,10647.63964134318
74.0,oui,bac+2,1876.0,veuf,0.66,2021-07-29,6101.005999999999,500.0
45.0,oui,bac,4442.0,divorcé,0.9,2021-06-02,6165.505999999999,500.0
24.0,non,master,500.0,veuf,0.59,2023-11-17,9000.0,500.0
56.0,non,bac+2,3141.0,célibataire,0.86,2022-09-02,5000.0,4996.262412302819
67.0,oui,aucun,1727.0,marié,0.62,2025-05-31,10000.0,500.0
29.0,oui,doctorat,2187.0,marié,0.3,2025-01-04,10000.0,14670.49502906506
66.0,oui,bac+2,4357.0,veuf,0.29,2023-01-01,8000.0,1661.5045209178095
70.0,non,doctorat,3945.0,veuf,0.92,2024-12-20,10000.0,16563.543188025313
48.0,oui,master,3467.6,célibataire,0.35,2021-09-22,4556.722,24603.709541446693
46.0,non,doctorat,4244.0,marié,0.46,2025-04-13,540.67,500.0
54.0,non,master,2172.0,marié,0.79,2024-12-24,5000.0,25107.69552674564
36.0,non,bac,1534.0,divorcé,0.75,2022-05-15,5000.0,500.0
35.0,non,doctorat,1339.0,célibataire,0.12,2023-08-11,637.44,500.0
70.0,oui,master,1019.0,marié,0.96,2022-02-04,3515.738,500.0
75.0,oui,aucun,3584.0,veuf,1.0,2025-01-05,867.84,4463.564482260121
26.0,non,bac,2179.0,veuf,0.91,2022-10-03,5231.054,500.0
31.0,oui,master,2228.0,divorcé,0.06,2022-12-08,3337.442,500.0
23.0,oui,bac,3083.0,veuf,0.43,2020-03-22,7125.745999999999,4929.207731729577
44.0,oui,doctorat,4017.0,marié,0.89,2023-02-21,10000.0,500.0
34.0,non,bac,1955.0,veuf,0.11,2020-04-19,10000.0,7698.7313009727695
48.0,non,bac,3025.0,veuf,0.17,2025-05-26,5000.0,500.0
26.0,oui,aucun,3323.0,veuf,0.3,2021-01-20,5000.0,6037.616276070013
75.0,oui,bac,4203.0,célibataire,0.77,2021-09-30,10000.0,5350.111853105886
41.0,oui,doctorat,3272.0,divorcé,0.15,2020-12-31,4315.87,15398.432553187266
20.0,non,aucun,1691.0,veuf,0.44,2021-12-13,10000.0,500.0
24.0,non,bac+2,500.0,divorcé,0.91,2023-02-27,10000.0,500.0
28.0,oui,aucun,1075.0,célibataire,0.6,2020-11-01,3721.5880000000006,500.0
59.0,oui,bac+2,1150.0,célibataire,0.81,2025-05-14,6241.21,6392.7563509119
24.0,non,aucun,551.0,veuf,0.77,2024-01-07,5000.0,500.0
60.0,oui,aucun,1405.0,divorcé,0.43,2020-12-07,6125.746,4718.113824115361
31.0,non,bac+2,1478.0,marié,0.18,2020-03-26,926.09,500.0
51.0,non,doctorat,1446.0,divorcé,0.26,2021-04-15,7000.0,500.0
40.0,non,bac,1892.0,marié,0.59,2023-03-23,5165.505999999999,500.0
69.0,non,aucun,3296.0,divorcé,0.46,2022-01-24,5000.0,500.0
72.0,non,bac+2,2563.0,veuf,0.88,2022-01-25,3412.506,500.0
68.0,oui,aucun,1584.0,marié,0.11,2020-01-20,5278.612,500.0
57.0,oui,bac+2,1475.0,célibataire,0.63,2021-08-12,1140.54,500.0
46.0,non,doctorat,2295.0,veuf,0.88,2020-12-13,466.09,16898.215986631894
42.0,non,doctorat,3457.0,célibataire,0.14,2020-07-08,5000.0,20790.117081998884
72.0,non,master,2461.0,veuf,0.87,2021-03-21,10000.0,15595.351645770275
40.0,non,doctorat,2254.0,divorcé,0.86,2023-11-25,1019.83,500.0
74.0,non,master,5441.0,veuf,0.93,2021-09-22,5000.0,500.0
58.0,oui,bac+2,2464.0,célibataire,0.07,2023-09-19,10000.0,500.0
73.0,non,bac,2719.0,veuf,0.6,2023-01-14,10000.0,20998.86591877767
58.0,non,bac,980.0,marié,0.94,2020-04-24,7000.0,500.0
22.0,non,bac,4056.0,marié,0.46,2023-05-23,10000.0,500.0
29.0,non,master,500.0,veuf,0.55,2024-03-06,4132.936,500.0
39.0,oui,bac+2,2942.0,célibataire,0.11,2020-09-27,4398.324,500.0
21.0,non,master,2927.0,veuf,0.51,2022-10-09,3497.4800000000005,500.0
57.0,oui,doctorat,1514.0,célibataire,0.7,2025-05-13,814.58,500.0
37.0,oui,aucun,1382.0,veuf,0.34,2025-04-11,5000.0,7485.794190612569
42.0,non,master,3079.0,marié,0.09,2024-04-09,8125.746000000001,11133.001424903705
44.0,non,bac+2,2805.0,marié,0.78,2021-12-05,5000.0,21106.772224193308
28.0,non,doctorat,775.0,veuf,0.94,2023-09-30,10000.0,500.0
67.0,oui,master,4272.0,veuf,0.91,2024-06-14,4133.0,500.0
64.0,non,aucun,4934.0,veuf,0.77,2024-12-04,965.21,500.0
61.0,oui,master,4132.0,divorcé,0.36,2020-10-17,326.09,10644.072585259131
38.0,oui,aucun,1253.0,veuf,0.71,2020-02-12,7125.745999999999,546.351140995378
40.0,oui,bac+2,3095.0,célibataire,0.15,2022-08-15,10000.0,500.0
75.0,non,master,2493.0,marié,0.1,2024-03-13,10000.0,2824.2866079903915
31.0,non,bac,4068.0,veuf,0.25,2024-01-23,5262.36,12612.744886685874
18.0,oui,master,2169.0,divorcé,0.56,2020-11-15,10000.0,500.0
25.0,oui,master,500.0,marié,0.48,2022-08-06,774.9,500.0
