age,sport_licence,niveau_etude,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,risque_personnel,date_creation_compte,loyer_mensuel,montant_pret
27.0,oui,bac+2,1.0,262.2,3402.0,veuf,0.81,2021-08-13,10000.0,500.0
71.0,oui,master,0.0,189.3,3545.0,veuf,0.41,2025-06-05,478.72,6704.125720757203
70.0,oui,bac+2,3.0,208.0,2063.0,divorcé,0.92,2020-11-16,5000.0,21679.5486704196
25.0,oui,master,1.0,391.9,2991.0,veuf,0.89,2024-09-30,8125.745999999999,7759.949436057161
46.0,oui,aucun,1.0,199.6,500.0,veuf,0.17,2022-11-22,10000.0,500.0
49.0,non,bac+2,2.0,193.8,1329.0,marié,0.09,2022-07-19,5000.0,500.0
62.0,oui,bac,1.0,113.3,1236.0,célibataire,0.81,2023-04-04,5000.0,1844.0329371307264
57.0,oui,bac+2,0.0,353.6,4464.0,divorcé,0.26,2025-06-05,1150.04,8285.817936778778
26.0,oui,bac+2,2.0,316.5,2251.0,marié,0.94,2021-03-12,4270.004,500.0
53.0,non,bac,1.0,168.1,500.0,divorcé,0.45,2022-10-02,796.64,500.0
47.0,non,aucun,2.0,230.0,2054.0,divorcé,0.94,2021-08-14,10000.0,6046.755656883397
46.0,non,bac+2,2.0,261.6,2508.0,célibataire,0.07,2022-04-18,1251.5,500.0
38.0,non,master,2.0,117.9,2698.0,veuf,0.78,2022-11-28,10000.0,10889.479152156036
50.0,non,bac+2,0.0,205.0,4700.0,veuf,0.4,2020-08-10,10000.0,500.0
45.0,oui,master,0.0,145.2,2365.0,divorcé,0.53,2023-01-04,6000.0,500.0
59.0,non,bac+2,2.0,95.7,3328.0,veuf,0.3,2023-01-20,6238.284000000001,500.0
18.0,non,aucun,2.0,365.8,2896.0,divorcé,0.38,2025-04-02,10000.0,500.0
38.0,non,aucun,4.0,95.4,1140.0,marié,0.38,2024-01-28,10000.0,10885.381593712042
62.0,non,doctorat,0.0,259.0,756.0,veuf,0.85,2025-06-08,10000.0,500.0
20.0,non,aucun,3.0,187.3,3485.0,veuf,0.11,2021-03-02,5000.0,11709.417260793842
33.0,oui,bac,1.0,381.6,3452.0,marié,0.54,2024-09-02,1119.65,6733.297384903495
51.0,oui,master,3.0,133.4,2712.0,marié,0.61,2023-09-01,903.98,500.0
58.0,non,doctorat,4.0,238.2,4964.0,veuf,0.57,2023-08-09,4333.868,5432.2809258522475
69.0,oui,bac,4.0,324.4,2351.0,célibataire,0.33,2020-07-14,5000.0,500.0
65.0,oui,aucun,4.0,151.1,4059.0,célibataire,0.24,2022-11-16,10000.0,500.0
72.0,oui,bac,1.0,185.2,784.0,veuf,0.19,2023-12-20,10000.0,500.0
75.0,non,bac+2,1.0,169.3,2080.0,divorcé,0.02,2023-07-03,10000.0,500.0
33.0,non,bac+2,0.0,372.0,1240.0,veuf,0.34,2021-03-31,10000.0,500.0
66.0,non,aucun,2.0,116.3,1846.0,célibataire,0.12,2020-04-16,265.52,500.0
66.0,oui,bac+2,0.0,377.0,3927.0,marié,0.8,2020-08-01,326.56,500.0
74.0,non,aucun,0.0,269.7,500.0,veuf,0.65,2022-12-03,6236.924,500.0
41.0,non,master,3.0,187.1,2895.0,marié,0.11,2023-08-15,3533.0740000000005,20898.35364074136
48.0,oui,bac,2.0,223.8,3046.0,célibataire,0.97,2021-02-16,10000.0,20932.965640341008
48.0,non,bac,2.0,203.6,3034.0,veuf,0.59,2022-03-30,4649.592,500.0
64.0,oui,bac+2,1.0,264.2,2721.0,célibataire,0.99,2022-06-17,4393.114,500.0
27.0,oui,doctorat,3.0,210.3,500.0,divorcé,0.74,2020-08-09,579.51,5865.969265888899
51.0,oui,doctorat,-1.0,188.5,2807.0,veuf,0.68,2024-02-28,5000.0,17684.089698857166
65.0,non,bac,2.0,268.9,2676.0,marié,0.48,2024-05-21,825.92,5159.662691995385
45.0,oui,doctorat,1.0,116.0,2405.0,marié,0.48,2020-10-20,2464.68,6022.540843962607
43.0,non,master,1.0,85.5,500.0,marié,0.85,2023-12-21,743.31,500.0
69.0,non,doctorat,3.0,311.3,2855.0,veuf,0.94,2021-04-04,5000.0,23027.89241368505
52.0,non,bac,2.0,187.3,4034.0,veuf,0.74,2025-01-10,10000.0,12886.728785661053
38.0,oui,bac,1.0,290.8,3154.0,célibataire,0.75,2022-04-12,6270.502,7923.31867619036
55.0,oui,bac,1.0,280.4,654.0,veuf,0.34,2023-04-03,934.71,500.0
33.0,oui,bac,2.0,433.2,908.0,divorcé,0.88,2021-08-12,5269.576,500.0
68.0,non,bac,4.0,99.9,2067.0,célibataire,0.16,2020-06-29,4326.084,500.0
56.0,oui,doctorat,3.0,281.3,1587.0,veuf,0.3,2020-01-13,433.09,500.0
59.0,oui,master,0.0,163.7,3477.0,veuf,0.13,2020-08-15,10000.0,25786.486859098208
66.0,non,bac+2,0.0,237.3,2480.0,marié,0.32,2023-01-12,5000.0,500.0
75.0,oui,master,4.0,258.7,2373.0,célibataire,0.13,2020-03-31,5000.0,3037.8523332904906
45.0,non,doctorat,0.0,470.8,1126.0,célibataire,0.52,2022-04-14,548.8,500.0
68.0,oui,aucun,0.0,154.9,1582.0,veuf,0.56,2025-03-11,10000.0,500.0
36.0,non,master,2.0,406.0,2195.0,veuf,0.44,2023-12-18,10000.0,20874.81075557496
18.0,oui,bac+2,3.0,328.7,3954.0,veuf,0.36,2020-07-12,7125.745999999999,3720.296043174988
49.0,non,master,1.0,306.6,1663.0,célibataire,0.46,2025-03-23,8000.0,15182.68376717428
52.0,oui,master,1.0,223.3,2693.0,marié,0.18,2023-11-30,7188.7,24908.828639462277
61.0,non,bac+2,0.0,288.8,2857.0,veuf,0.78,2022-02-04,4264.0199999999995,500.0
32.0,oui,doctorat,1.0,151.3,2755.0,veuf,0.61,2022-01-23,7073.278,18533.29569814834
51.0,oui,bac,-1.0,346.6,1377.0,marié,0.09,2024-10-18,8000.0,500.0
72.0,oui,doctorat,0.0,164.0,1227.0,célibataire,0.3,2024-06-16,5000.0,10854.303094100836
62.0,oui,aucun,4.0,184.6,1441.0,veuf,0.57,2023-05-10,469.54,4004.655230721941
27.0,oui,master,3.0,203.8,4806.0,veuf,0.33,2022-04-13,10000.0,11952.530924422606
51.0,non,master,5.0,47.2,500.0,veuf,0.67,2021-08-17,1458.23,5873.899976269297
44.0,oui,aucun,1.0,262.1,1891.0,célibataire,0.25,2020-05-04,10000.0,500.0
63.0,oui,bac+2,3.0,98.5,500.0,veuf,0.69,2025-04-19,7138.06,500.0
40.0,non,doctorat,4.0,385.4,3554.0,célibataire,0.42,2021-07-14,10000.0,9737.490776631392
40.0,non,bac,0.0,86.0,3033.0,veuf,0.32,2023-04-18,4327.49,500.0
28.0,non,doctorat,3.0,197.1,3382.0,veuf,0.57,2025-03-20,1416.6,500.0
24.0,non,bac,1.0,256.4,3052.0,veuf,0.52,2023-01-26,5165.505999999999,500.0
30.0,non,aucun,0.0,164.8,3250.0,veuf,0.45,2023-09-02,690.08,500.0
52.0,oui,doctorat,1.0,235.4,3299.0,veuf,0.81,2021-04-18,7139.780000000001,500.0
53.0,non,bac+2,1.0,205.1,1732.0,veuf,0.55,2020-06-02,612.86,500.0
20.0,non,aucun,2.0,204.9,3668.0,marié,0.11,2024-12-25,5000.0,500.0
39.0,non,aucun,1.0,301.9,2428.0,veuf,0.85,2022-10-30,10000.0,500.0
57.0,oui,bac+2,-1.0,289.5,3438.0,divorcé,0.39,2021-02-26,465.68,500.0
28.0,non,doctorat,0.0,404.6,2169.0,divorcé,0.75,2024-02-28,10000.0,2558.9849463224828
38.0,non,master,1.0,209.7,822.0,célibataire,0.13,2022-01-10,1119.91,500.0
54.0,non,aucun,3.0,281.6,2153.0,veuf,0.65,2020-11-05,10000.0,17194.207059045802
19.0,oui,master,0.0,266.0,2312.0,marié,0.87,2024-12-13,710.72,22517.024719371875
27.0,non,bac+2,0.0,259.5,3022.0,veuf,0.38,2024-07-27,5000.0,500.0
62.0,oui,aucun,0.0,242.6,3773.0,veuf,0.82,2022-08-12,502.09,500.0
48.0,non,bac,1.0,150.2,3433.0,veuf,0.59,2020-06-12,5000.0,500.0
61.0,non,bac+2,3.0,323.8,2508.0,veuf,0.28,2022-10-09,7111.492,500.0
22.0,oui,bac+2,1.0,5.9,3237.0,divorcé,0.15,2023-06-30,2777.082,500.0
24.0,oui,bac,0.0,271.2,500.0,veuf,0.24,2023-02-12,6279.99,500.0
37.0,oui,doctorat,2.0,428.1,500.0,divorcé,0.06,2025-03-31,10000.0,23382.33116110938
21.0,non,aucun,0.0,343.2,3758.0,veuf,0.69,2022-01-21,429.85,500.0
20.0,non,aucun,0.0,352.3,3781.0,veuf,0.18,2021-12-21,5000.0,500.0
41.0,non,aucun,-1.0,151.0,3216.0,veuf,0.14,2023-03-12,7125.25,7615.14958014855
43.0,non,master,3.0,246.5,2607.0,divorcé,0.08,2022-08-13,1006.6,14384.134432475044
59.0,non,master,0.0,247.3,2086.0,veuf,0.13,2023-10-19,5000.0,500.0
39.0,non,bac,2.0,217.1,877.0,marié,0.54,2021-02-12,9000.0,5104.669103968065
59.0,non,bac+2,1.0,250.1,3709.0,veuf,0.43,2023-01-06,10000.0,9687.395263554328
24.0,oui,bac,0.0,173.0,2188.0,veuf,0.31,2020-09-14,7086.428,500.0
56.0,non,doctorat,3.0,318.1,1671.0,marié,0.8,2020-06-11,5000.0,30871.51770754103
39.0,non,master,1.0,355.5,1232.0,veuf,0.58,2023-08-26,5000.0,28360.469866589272
26.0,non,bac+2,1.0,198.8,2608.0,veuf,0.21,2021-12-15,5000.0,500.0
27.0,oui,bac,4.0,117.5,1452.0,marié,0.84,2022-06-29,10000.0,500.0
36.0,non,aucun,1.0,248.8,3121.0,divorcé,0.47,2022-09-19,10000.0,500.0
39.0,non,bac+2,2.0,379.8,2982.0,célibataire,0.16,2025-04-24,3598.84,500.0
64.0,oui,doctorat,0.0,452.5,4240.0,veuf,0.1,2024-12-09,10000.0,20076.710615152388
27.0,oui,master,0.0,178.9,4012.0,veuf,0.09,2024-11-29,650.12,22056.059686216657
69.0,non,aucun,0.0,133.9,3444.0,divorcé,0.1,2024-10-28,1021.29,500.0
71.0,oui,doctorat,0.0,332.7,4018.0,marié,0.61,2025-03-26,10000.0,9787.450681057464
41.0,non,bac,1.0,288.5,3200.0,veuf,0.48,2021-07-05,8125.25,13451.949076437062
65.0,oui,bac+2,5.0,283.7,2311.0,célibataire,0.97,2025-06-09,10000.0,4029.689149514852
51.0,non,master,2.0,203.8,2694.0,célibataire,0.37,2024-09-17,5000.0,20468.52122428576
58.0,non,bac+2,4.0,236.94,3510.0,veuf,0.89,2022-10-13,5000.0,3781.4490294781554
71.0,oui,doctorat,3.0,252.3,2273.0,marié,0.32,2023-03-15,5000.0,6691.407365161992
26.0,non,bac,4.0,304.0,2847.0,veuf,0.51,2022-07-22,583.92,500.0
66.0,oui,aucun,2.0,383.8,2302.0,divorcé,0.77,2022-07-03,10000.0,3693.546074949823
48.0,non,bac+2,1.0,111.6,2651.0,divorcé,0.62,2022-05-21,3364.5840000000003,500.0
26.0,non,bac+2,2.0,274.12,3764.0,veuf,0.02,2021-08-22,5233.634,8307.81968180925
58.0,non,bac+2,3.0,171.7,2778.0,veuf,0.22,2022-10-21,4529.882,500.0
66.0,oui,bac+2,2.0,256.2,4796.0,marié,0.51,2024-02-27,10000.0,13019.752251067695
63.0,non,bac+2,2.0,105.2,1886.0,célibataire,0.88,2020-05-08,5000.0,5469.826111630515
50.0,non,doctorat,1.0,255.1,2532.0,marié,0.18,2021-05-22,3249.338,500.0
58.0,oui,bac+2,2.0,285.5,1434.0,marié,0.61,2021-06-28,1185.44,5048.039098782987
41.0,non,master,0.0,360.7,4020.0,marié,0.74,2022-08-20,5229.106,500.0
42.0,non,master,2.0,403.9,2867.0,veuf,0.66,2023-10-12,10000.0,6031.912664061217
54.0,non,aucun,3.0,74.2,2009.0,célibataire,0.24,2023-10-06,5000.0,9266.683867550915
35.0,non,bac+2,0.0,309.0,1947.0,veuf,0.25,2023-10-10,764.96,500.0
47.0,non,bac+2,1.0,294.2,500.0,divorcé,0.8,2020-05-27,10000.0,500.0
66.0,oui,bac+2,0.0,309.6,789.0,veuf,0.88,2023-04-14,10000.0,500.0
61.0,oui,doctorat,1.0,377.0,2747.0,divorcé,0.2,2022-01-10,1111.12,899.2670081650382
42.0,oui,bac+2,2.0,87.1,3382.0,veuf,0.75,2023-10-15,5000.0,500.0
24.0,oui,bac,1.0,182.5,2470.0,veuf,0.84,2020-06-25,792.77,12979.244904099192
63.0,non,bac,2.0,299.3,2910.0,veuf,0.96,2023-06-24,731.55,14812.435436480271
71.0,non,aucun,2.0,442.3,2377.0,veuf,0.58,2020-04-14,535.66,500.0
63.0,non,bac+2,1.0,264.6,653.0,veuf,0.05,2020-08-27,5000.0,4245.059588698138
38.0,oui,aucun,3.0,255.6,1929.0,divorcé,0.46,2024-05-30,601.59,9635.422441407767
74.0,non,master,2.0,368.9,2620.0,célibataire,0.13,2024-12-29,6125.746,16850.61187309268
71.0,oui,master,0.0,-10.0,2377.0,veuf,0.83,2020-03-03,718.9,500.0
19.0,oui,aucun,0.0,278.8,2966.0,célibataire,0.83,2020-11-06,292.64,850.6211950400723
71.0,non,aucun,0.0,211.9,3732.0,divorcé,0.39,2025-03-19,4579.47,500.0
49.0,non,doctorat,0.0,203.6,2401.0,veuf,0.76,2022-01-20,4247.6759999999995,24229.333710598563
50.0,non,bac,2.0,185.7,1539.0,célibataire,0.16,2022-07-07,6101.005999999999,500.0
37.0,non,bac,2.0,338.7,3333.0,veuf,0.19,2022-09-18,4380.35,26598.11360987438
31.0,non,doctorat,2.0,441.2,2589.0,veuf,0.42,2025-06-02,1067.25,28361.216717560765
61.0,oui,bac,0.0,70.9,2968.0,célibataire,0.45,2021-10-23,6229.09,500.0
41.0,non,aucun,0.0,174.4,3971.0,célibataire,0.65,2020-11-20,5101.005999999999,500.0
28.0,non,bac+2,1.0,234.6,543.0,veuf,0.22,2020-03-18,10000.0,500.0
37.0,non,bac+2,3.0,186.1,1645.0,célibataire,0.36,2021-08-21,939.52,16779.477423165245
32.0,non,aucun,0.0,190.4,3378.0,marié,0.36,2021-02-07,790.78,500.0
71.0,non,bac,2.0,322.2,3935.0,divorcé,0.45,2021-11-06,5000.0,30582.229512865797
73.0,oui,aucun,1.0,206.2,3084.0,marié,0.56,2024-11-16,1267.42,500.0
21.0,oui,master,3.0,323.6,1953.0,marié,0.06,2020-11-13,5000.0,500.0
49.0,oui,doctorat,3.0,162.2,1898.0,veuf,0.88,2024-12-04,6143.005999999999,27049.936870365764
29.0,non,aucun,4.0,109.6,2112.0,divorcé,0.75,2023-09-21,7000.0,500.0
40.0,non,bac,0.0,324.8,2141.0,veuf,0.47,2025-02-10,5000.0,500.0
62.0,oui,doctorat,0.0,324.8,2824.0,divorcé,0.52,2022-12-06,5000.0,5736.74882634086
73.0,oui,bac+2,1.0,404.8,2728.0,veuf,0.02,2022-12-23,6125.746,4899.640179693654
35.0,non,doctorat,2.0,187.4,1971.0,veuf,0.25,2022-02-11,10000.0,19659.52989597216
19.0,non,bac,1.0,284.3,2831.0,divorcé,0.67,2023-01-02,8240.984,16346.695616229796
40.0,non,bac,0.0,375.7,3418.0,divorcé,0.12,2024-09-14,5000.0,500.0
52.0,oui,master,4.0,345.7,2719.0,divorcé,0.88,2021-03-25,10000.0,13291.314733636755
29.0,non,aucun,0.0,301.6,2389.0,divorcé,0.1,2021-06-08,4408.966,500.0
19.0,oui,doctorat,2.0,326.2,841.0,marié,0.37,2024-04-13,892.2,500.0
41.0,oui,aucun,0.0,106.9,1249.0,marié,0.73,2022-08-02,5047.388,500.0
71.0,non,bac+2,0.0,330.2,4829.0,veuf,0.51,2021-02-05,10000.0,500.0
72.0,oui,bac,3.0,187.8,1748.0,veuf,0.08,2022-08-07,5000.0,500.0
20.0,oui,bac,1.0,144.7,2034.0,célibataire,0.9,2022-03-06,297.61,3270.4699795050205
25.0,oui,aucun,0.0,65.0,2988.0,veuf,0.33,2025-03-15,479.63,500.0
68.0,non,aucun,1.0,73.2,3294.0,célibataire,0.49,2021-07-17,2460.382,500.0
65.0,non,bac+2,2.0,304.8,1212.0,divorcé,0.55,2024-09-11,4587.478,500.0
19.0,non,bac,1.0,393.1,3507.0,marié,0.17,2024-12-01,5258.73,3339.4071421091703
34.0,non,bac+2,1.0,293.8,3333.0,marié,0.3,2025-05-13,5000.0,11440.41558874762
75.0,non,bac+2,1.0,310.3,4597.0,célibataire,0.41,2025-03-28,5000.0,13715.3838415264
34.0,oui,master,1.0,243.1,5053.0,divorcé,0.9,2020-09-25,5000.0,28059.26791132646
44.0,non,bac+2,1.0,46.2,2582.0,divorcé,0.7,2023-08-08,6000.0,10011.969200754056
64.0,oui,bac,3.0,167.3,1629.0,célibataire,0.88,2023-05-14,10000.0,500.0
20.0,non,doctorat,1.0,200.7,3545.0,marié,0.43,2022-06-08,5000.0,500.0
31.0,oui,master,4.0,172.0,1368.0,veuf,0.53,2021-03-14,10000.0,500.0
70.0,oui,bac,-1.0,122.3,3803.0,divorcé,0.48,2021-04-10,5000.0,500.0
70.0,oui,bac,4.0,160.8,2358.0,veuf,0.85,2022-11-02,5000.0,28681.119322248596
57.0,non,aucun,4.0,212.1,2968.0,veuf,0.5,2021-01-20,5000.0,500.0
41.0,non,bac,2.0,147.8,1062.0,célibataire,0.17,2024-03-11,2923.132,500.0
26.0,non,master,0.0,176.5,3387.0,veuf,0.12,2024-04-17,446.82,8591.117754055536
38.0,oui,master,0.0,170.0,1510.0,divorcé,0.28,2025-06-08,787.95,500.0
67.0,oui,bac+2,4.0,160.8,1931.0,divorcé,0.69,2023-06-30,5370.01,6394.756182854656
48.0,non,doctorat,2.0,168.1,1285.0,veuf,0.79,2023-01-21,7000.0,28660.654900555084
26.0,oui,master,2.0,117.0,1061.0,marié,0.72,2021-02-05,5000.0,21639.31929549234
56.0,non,aucun,2.0,179.9,2297.0,veuf,0.84,2024-07-03,5000.0,500.0
22.0,oui,aucun,0.0,243.8,500.0,veuf,0.9,2020-12-12,10000.0,500.0
46.0,non,bac+2,2.0,430.8,4217.0,veuf,0.72,2021-10-29,5350.834000000001,500.0
26.0,oui,bac+2,1.0,198.8,1432.0,célibataire,0.98,2022-05-22,10000.0,500.0
73.0,non,aucun,1.0,229.8,1705.0,célibataire,0.98,2023-05-02,7000.0,500.0
45.0,non,bac,0.0,210.0,3838.0,célibataire,0.75,2021-12-12,5000.0,500.0
74.0,oui,bac+2,0.0,454.6,1749.0,marié,0.12,2023-05-17,1003.97,500.0
62.0,oui,bac+2,3.0,496.5,2663.0,divorcé,0.03,2023-08-05,10000.0,33214.03193970021
71.0,non,aucun,2.0,249.5,4546.0,marié,0.02,2024-11-16,6109.326,23563.9251928688
30.0,non,aucun,2.0,26.3,1491.0,célibataire,0.47,2023-11-26,436.93,500.0
29.0,oui,bac,0.0,263.5,2183.0,célibataire,0.1,2023-02-26,10000.0,17288.094989211968
64.0,oui,bac,0.0,12.7,2485.0,célibataire,0.25,2025-03-12,7241.108,500.0
65.0,oui,doctorat,2.0,150.8,3059.0,marié,0.88,2020-10-18,10000.0,20859.392063791667
63.0,non,master,2.0,218.6,2745.0,veuf,0.24,2021-09-28,10000.0,5384.587170852851
22.0,non,aucun,1.0,229.3,2291.0,veuf,0.04,2023-03-26,10000.0,500.0
56.0,non,bac+2,1.0,194.2,2685.0,marié,0.44,2024-07-04,5000.0,500.0
58.0,non,aucun,0.0,278.6,500.0,veuf,0.58,2024-11-26,1259.93,500.0
49.0,non,bac,3.0,387.6,3033.0,divorcé,0.98,2023-03-21,5000.0,500.0
29.0,non,master,0.0,312.4,1319.0,marié,0.33,2022-12-13,3485.172,500.0
75.0,non,doctorat,2.0,255.1,4342.0,divorcé,0.13,2020-02-06,7231.548000000001,645.9904107965895
71.0,non,bac+2,0.0,8.9,3620.0,veuf,0.68,2020-01-03,841.3,500.0
42.0,oui,master,1.0,315.5,1868.0,divorcé,0.18,2024-08-27,5000.0,500.0
58.0,oui,bac,0.0,173.3,2179.0,célibataire,0.96,2023-07-30,432.14,500.0
65.0,non,bac,2.0,371.0,739.0,veuf,0.26,2020-07-27,1109.18,16774.439422281055
33.0,oui,master,3.0,166.7,1698.0,marié,0.91,2021-09-23,10000.0,23539.407542932902
23.0,oui,bac,3.0,188.1,2556.0,célibataire,0.99,2024-07-23,7267.1759999999995,500.0
23.0,oui,bac+2,1.0,264.2,783.0,divorcé,0.96,2024-07-26,1089.8,12101.832509137765
44.0,non,master,0.0,209.4,3979.0,veuf,0.54,2021-07-07,10000.0,500.0
42.0,non,aucun,1.0,335.2,2626.0,veuf,0.54,2022-10-04,1065.47,500.0
52.0,oui,bac+2,3.0,257.1,2240.0,veuf,0.57,2020-08-16,6224.258,14516.221113864312
53.0,oui,bac+2,1.0,185.7,3004.0,veuf,0.8,2022-12-31,5000.0,500.0
27.0,non,bac,0.0,232.9,3426.0,veuf,0.65,2025-04-17,4273.35,500.0
70.0,oui,bac,5.0,124.2,514.0,divorcé,0.37,2024-08-09,5000.0,12668.779327914164
35.0,oui,aucun,1.0,338.0,654.0,veuf,0.94,2021-01-10,920.55,500.0
42.0,oui,aucun,0.0,174.4,5329.0,veuf,0.73,2023-04-21,10000.0,500.0
50.0,non,bac,2.0,349.2,2528.0,veuf,0.06,2020-06-05,915.88,500.0
56.0,oui,master,2.0,222.1,1801.0,célibataire,0.52,2024-04-29,432.71,500.0
41.0,non,bac,2.0,269.5,679.0,veuf,0.88,2024-05-26,756.77,500.0
31.0,non,master,1.0,120.7,3312.0,veuf,0.98,2025-05-14,469.76,14987.19677802268
24.0,non,bac,0.0,184.3,537.0,veuf,0.56,2022-11-29,5000.0,500.0
44.0,non,bac+2,3.0,247.0,1202.0,célibataire,0.75,2024-03-31,10000.0,29158.540553640065
36.0,non,doctorat,3.0,228.6,1287.0,divorcé,0.04,2024-07-19,5000.0,500.0
28.0,non,bac,0.0,114.1,2875.0,célibataire,0.9,2020-07-19,3384.91,500.0
22.0,oui,master,1.0,307.7,1774.0,veuf,0.29,2021-02-04,5000.0,18130.79605409314
46.0,non,bac,0.0,258.4,2652.0,célibataire,0.63,2025-03-09,4309.25,500.0
51.0,oui,bac,1.0,232.5,1306.0,veuf,0.73,2021-07-10,1224.92,500.0
24.0,oui,bac,2.0,339.9,4087.0,divorcé,0.05,2021-08-03,5000.0,500.0
35.0,oui,aucun,-1.0,349.2,3079.0,célibataire,0.23,2024-07-22,5000.0,500.0
23.0,non,doctorat,2.0,250.2,2556.0,marié,0.87,2022-03-21,4474.7339999999995,12855.79366176639
47.0,non,master,1.0,432.8,2220.0,marié,0.17,2024-09-14,7125.745999999999,5855.632319634432
57.0,oui,bac,1.0,397.9,2729.0,célibataire,0.43,2020-09-08,1008.26,6520.441808137029
47.0,oui,bac,1.0,251.6,3997.0,veuf,0.15,2024-12-27,10000.0,20210.969665473087
67.0,non,aucun,2.0,227.5,500.0,célibataire,0.1,2020-08-21,5000.0,500.0
48.0,non,bac+2,1.0,105.8,954.0,veuf,0.28,2021-04-22,1269.21,500.0
46.0,oui,doctorat,0.0,96.4,2378.0,veuf,0.06,2024-09-02,3326.3740000000007,500.0
48.0,non,bac,2.0,152.9,2004.0,marié,0.35,2023-04-23,5000.0,500.0
32.0,oui,bac+2,3.0,180.2,4564.0,veuf,0.23,2025-05-14,1199.8,9715.929213091253
57.0,oui,doctorat,2.0,417.6,3167.0,marié,0.7,2020-06-14,5000.0,5439.843854584195
35.0,non,doctorat,1.0,270.86,1562.0,veuf,0.31,2021-05-30,5000.0,7062.468236450614
31.0,oui,doctorat,1.0,244.7,500.0,divorcé,0.64,2022-04-20,5000.0,500.0
35.0,oui,bac,1.0,266.3,814.0,veuf,0.83,2024-11-30,5000.0,14017.898839679883
52.0,non,aucun,3.0,217.7,2657.0,divorcé,0.18,2021-06-10,4404.3820000000005,500.0
57.0,non,aucun,2.0,214.0,2953.0,célibataire,0.9,2021-09-12,5000.0,3636.953931629637
28.0,non,aucun,0.0,214.9,706.0,marié,0.88,2021-04-19,10000.0,500.0
23.0,non,bac,2.0,138.4,1683.0,divorcé,0.57,2020-07-30,5000.0,500.0
20.0,non,master,3.0,388.8,5044.0,veuf,0.64,2023-05-25,907.53,13427.096383313634
72.0,non,doctorat,0.0,155.5,1493.0,veuf,0.22,2024-07-04,10000.0,20129.93071725297
49.0,non,bac,2.0,240.3,767.0,veuf,0.35,2020-08-17,813.2,7181.990421288722
18.0,non,doctorat,5.0,171.0,536.0,veuf,0.4,2020-08-19,10000.0,25429.95401859597
33.0,non,master,3.0,120.2,828.0,marié,0.46,2021-09-19,6301.658,500.0
64.0,oui,aucun,-1.0,120.8,2991.0,célibataire,0.1,2022-10-28,10000.0,500.0
51.0,non,bac,2.0,208.2,3041.0,célibataire,0.76,2021-06-04,10000.0,500.0
65.0,non,aucun,2.0,372.9,4242.0,marié,0.97,2021-09-08,781.7,500.0
69.0,oui,aucun,0.0,281.4,1150.0,célibataire,0.56,2020-11-08,878.89,500.0
71.0,non,master,2.0,319.4,4504.0,divorcé,0.49,2022-05-21,725.04,16117.406692696057
57.0,oui,bac+2,0.0,241.6,2555.0,veuf,0.31,2021-04-06,10000.0,500.0
28.0,oui,bac,3.0,195.3,5082.0,marié,0.57,2022-09-07,5000.0,500.0
71.0,non,doctorat,1.0,208.4,2973.0,célibataire,0.67,2021-10-03,5000.0,27867.198087290744
31.0,non,master,2.0,101.5,1171.0,célibataire,0.17,2021-02-03,2548.4939999999997,500.0
58.0,oui,doctorat,2.0,373.2,3041.0,veuf,0.32,2023-04-26,5000.0,13636.010188466014
23.0,oui,aucun,5.0,264.7,3262.0,marié,0.81,2024-09-30,10000.0,14076.41080307613
53.0,oui,master,1.0,332.1,4158.0,veuf,0.53,2020-02-07,5000.0,16088.69832685581
64.0,non,aucun,1.0,254.5,2477.0,marié,0.44,2023-02-25,5000.0,500.0
43.0,non,doctorat,2.0,116.3,2608.0,divorcé,0.31,2020-06-11,10000.0,500.0
71.0,non,master,3.0,255.0,657.0,divorcé,0.14,2022-08-12,6125.746,9855.705107337182
40.0,oui,master,1.0,231.0,1977.0,divorcé,0.82,2021-02-19,794.46,11446.520134277058
69.0,oui,bac+2,0.0,360.3,2639.0,veuf,0.57,2021-04-05,5000.0,500.0
70.0,oui,master,0.0,366.6,2681.0,veuf,0.92,2024-05-11,7125.745999999999,5050.993511279376
56.0,oui,doctorat,0.0,375.1,762.0,veuf,0.04,2023-05-08,288.03,12496.717452065768
48.0,non,aucun,0.0,236.3,3469.0,célibataire,0.04,2025-02-03,10000.0,500.0
54.0,non,aucun,0.0,278.3,2954.0,divorcé,0.61,2024-01-22,578.25,500.0
30.0,non,bac+2,0.0,95.3,1652.0,veuf,0.02,2023-01-12,5000.0,500.0
19.0,oui,aucun,0.0,315.8,2316.0,divorcé,0.83,2024-06-24,5000.0,500.0
54.0,oui,aucun,0.0,385.4,1927.0,veuf,0.22,2020-06-19,5000.0,500.0
73.0,oui,bac+2,4.0,162.2,3043.0,marié,0.29,2023-10-10,836.95,1123.932410925924
32.0,oui,master,0.0,102.3,1064.0,veuf,0.87,2024-07-16,884.22,500.0
66.0,oui,master,0.0,261.9,661.0,veuf,0.24,2020-04-24,5000.0,500.0
65.0,oui,master,2.0,201.4,3209.0,veuf,0.28,2023-11-30,4388.728,23043.59728309674
51.0,oui,bac,1.0,244.6,2006.0,veuf,0.83,2024-03-08,10000.0,500.0
52.0,oui,bac+2,2.8,430.6,4679.0,célibataire,0.0,2020-09-09,5000.0,1760.8297966914745
